year,seriousviolent,injury,treatment,vicservices,locationr
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,3
2009,1,0,0.0,2.0,5
2009,1,0,0.0,2.0,2
2009,2,0,0.0,2.0,3
2009,1,0,0.0,2.0,2
2009,1,0,0.0,2.0,3
2009,1,1,2.0,2.0,2
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,4
2009,1,1,2.0,2.0,2
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,4
2009,2,1,1.0,2.0,1
2009,2,0,0.0,1.0,2
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,3
2009,3,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,5
2009,2,0,0.0,2.0,3
2009,2,1,2.0,1.0,2
2009,2,0,0.0,2.0,5
2009,1,1,2.0,1.0,1
2009,2,1,1.0,2.0,3
2009,1,1,2.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,1,1,2.0,1.0,3
2009,1,1,2.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,1,1.0,2.0,1
2009,2,0,0.0,2.0,1
2009,3,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,5
2009,2,0,0.0,2.0,4
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,1,1,2.0,1.0,1
2009,1,1,2.0,2.0,1
2009,1,0,0.0,2.0,1
2009,1,1,2.0,2.0,4
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,4
2009,1,1,2.0,1.0,1
2009,1,1,2.0,2.0,4
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,5
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,0,0.0,,4
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,1
2009,1,1,1.0,2.0,5
2009,1,0,0.0,2.0,2
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,3
2009,3,0,0.0,2.0,3
2009,2,0,0.0,2.0,2
2009,2,0,0.0,2.0,4
2009,2,1,1.0,2.0,3
2009,1,1,1.0,2.0,1
2009,1,1,2.0,2.0,1
2009,2,0,0.0,2.0,4
2009,2,1,1.0,2.0,1
2009,2,1,1.0,2.0,3
2009,3,0,0.0,2.0,3
2009,3,0,0.0,2.0,3
2009,1,1,2.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,5
2009,2,0,0.0,2.0,5
2009,2,0,0.0,2.0,5
2009,2,0,0.0,2.0,5
2009,2,0,0.0,1.0,1
2009,2,1,1.0,2.0,1
2009,1,1,2.0,1.0,1
2009,2,1,1.0,2.0,2
2009,1,1,1.0,2.0,3
2009,2,1,1.0,2.0,5
2009,1,0,0.0,2.0,5
2009,2,0,0.0,2.0,5
2009,1,0,0.0,2.0,1
2009,2,1,1.0,2.0,1
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,5
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,1,2.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,1,1.0,2.0,3
2009,3,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,2
2009,2,1,1.0,2.0,1
2009,2,1,1.0,2.0,1
2009,2,1,1.0,2.0,1
2009,2,1,1.0,2.0,1
2009,2,0,0.0,2.0,1
2009,1,1,2.0,2.0,1
2009,2,1,1.0,2.0,3
2009,2,0,0.0,2.0,3
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,3
2009,1,1,2.0,1.0,3
2009,2,0,0.0,2.0,2
2009,1,0,0.0,2.0,5
2009,2,0,0.0,2.0,2
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,2
2009,1,1,2.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,1,1.0,2.0,5
2009,2,1,1.0,2.0,1
2009,1,1,1.0,2.0,4
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,4
2009,1,1,1.0,2.0,3
2009,2,0,0.0,2.0,5
2009,2,0,0.0,2.0,3
2009,2,1,1.0,2.0,2
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,4
2009,2,1,1.0,2.0,4
2009,2,0,0.0,1.0,5
2009,3,0,0.0,1.0,3
2009,2,0,0.0,1.0,4
2009,2,0,0.0,1.0,4
2009,1,1,1.0,2.0,3
2009,2,0,0.0,2.0,2
2009,1,0,0.0,2.0,1
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,3,0,0.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,1,1.0,2.0,4
2009,2,1,1.0,2.0,4
2009,2,0,0.0,2.0,1
2009,2,1,2.0,2.0,1
2009,1,1,2.0,2.0,3
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,1,1,2.0,2.0,1
2009,1,0,0.0,2.0,1
2009,1,0,0.0,2.0,3
2009,1,0,0.0,2.0,3
2009,1,0,0.0,2.0,3
2009,1,0,0.0,2.0,1
2009,1,1,1.0,2.0,5
2009,2,1,1.0,2.0,4
2009,1,0,0.0,2.0,4
2009,1,0,0.0,2.0,4
2009,2,1,2.0,2.0,3
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,1,1,2.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,2
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,1,1,1.0,2.0,4
2009,1,1,2.0,2.0,3
2009,1,1,2.0,1.0,5
2009,2,0,0.0,2.0,5
2009,1,1,1.0,2.0,1
2009,2,1,2.0,2.0,1
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,3
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,4
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,2
2009,2,1,1.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,5
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,2
2009,2,0,0.0,2.0,3
2009,2,1,1.0,2.0,1
2009,2,1,1.0,2.0,3
2009,2,0,0.0,2.0,5
2009,1,1,2.0,2.0,2
2009,1,0,0.0,2.0,2
2009,2,0,0.0,2.0,5
2009,2,0,0.0,2.0,3
2009,1,0,0.0,2.0,1
2009,1,1,1.0,2.0,4
2009,2,1,1.0,2.0,4
2009,2,1,1.0,2.0,3
2009,1,0,0.0,2.0,3
2009,1,0,0.0,2.0,4
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,3
2009,3,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,1,1,2.0,2.0,1
2009,3,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,2
2009,1,1,1.0,2.0,3
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,2
2009,1,0,0.0,2.0,1
2009,1,0,0.0,,1
2009,1,0,0.0,,1
2009,1,0,0.0,,1
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,2
2009,2,0,0.0,2.0,2
2009,2,0,0.0,2.0,2
2009,2,0,0.0,2.0,2
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,3
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,4
2009,2,1,1.0,2.0,3
2009,2,0,0.0,2.0,3
2009,1,0,0.0,2.0,5
2009,2,0,0.0,2.0,2
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,2
2009,1,0,0.0,2.0,3
2009,1,1,1.0,2.0,5
2009,1,0,0.0,2.0,4
2009,1,0,0.0,2.0,3
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,1
2009,1,1,2.0,2.0,1
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,1,0,0.0,2.0,5
2009,3,0,0.0,2.0,1
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,1,1.0,2.0,1
2009,3,0,0.0,1.0,5
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,2
2009,2,0,0.0,2.0,3
2009,1,1,2.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,0,0.0,1.0,1
2009,2,0,0.0,2.0,3
2009,3,0,0.0,2.0,3
2009,2,1,2.0,2.0,1
2009,2,1,1.0,2.0,1
2009,2,0,0.0,2.0,3
2009,1,0,0.0,,1
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,0,0.0,,1
2009,1,1,2.0,2.0,3
2009,1,0,0.0,2.0,2
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,3,0,0.0,2.0,2
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,1,2.0,2.0,3
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,4
2009,3,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,5
2009,2,1,1.0,1.0,2
2009,1,1,1.0,2.0,1
2009,1,1,1.0,2.0,3
2009,2,1,1.0,2.0,4
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,3,0,0.0,,3
2009,1,0,0.0,2.0,1
2009,1,0,0.0,2.0,4
2009,2,0,0.0,2.0,4
2009,1,0,0.0,2.0,1
2009,2,1,1.0,2.0,1
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,3
2009,1,1,2.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,1,1.0,2.0,3
2009,2,1,1.0,2.0,3
2009,1,0,0.0,2.0,1
2009,1,1,2.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,,1
2009,1,0,0.0,2.0,2
2009,1,0,0.0,2.0,3
2009,2,0,0.0,1.0,1
2009,1,0,0.0,2.0,1
2009,1,0,0.0,2.0,1
2009,2,1,1.0,2.0,2
2009,2,1,2.0,1.0,1
2009,2,1,1.0,2.0,1
2009,1,1,2.0,2.0,1
2009,2,1,1.0,2.0,1
2009,1,1,2.0,2.0,3
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,3
2009,2,1,2.0,2.0,2
2009,1,0,0.0,2.0,3
2009,1,1,2.0,2.0,3
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,3
2009,1,1,2.0,2.0,3
2009,1,0,0.0,2.0,5
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,1,1.0,2.0,3
2009,1,1,2.0,1.0,1
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,4
2009,2,1,1.0,2.0,3
2009,1,1,2.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,2
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,2
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,0,0.0,1.0,3
2009,2,0,0.0,2.0,4
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,1,1,2.0,2.0,1
2009,1,1,1.0,2.0,3
2009,2,1,1.0,2.0,1
2009,2,1,1.0,2.0,1
2009,2,1,1.0,2.0,1
2009,2,0,0.0,2.0,2
2009,2,0,0.0,2.0,3
2009,1,1,2.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,1,2.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,4
2009,1,0,0.0,2.0,3
2009,1,0,0.0,1.0,1
2009,1,0,0.0,1.0,3
2009,2,1,1.0,2.0,1
2009,1,0,0.0,1.0,5
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,4
2009,2,1,2.0,2.0,3
2009,1,1,1.0,2.0,2
2009,3,0,0.0,2.0,3
2009,2,0,0.0,2.0,5
2009,2,1,2.0,2.0,3
2009,3,0,0.0,2.0,3
2009,1,0,0.0,2.0,3
2009,1,1,1.0,2.0,3
2009,1,1,2.0,1.0,1
2009,2,0,0.0,1.0,1
2009,2,0,0.0,2.0,3
2009,1,0,0.0,2.0,2
2009,2,0,0.0,2.0,5
2009,2,1,2.0,2.0,1
2009,2,0,0.0,2.0,1
2009,1,1,2.0,1.0,2
2009,1,0,0.0,2.0,3
2009,2,0,0.0,1.0,1
2009,2,0,0.0,2.0,4
2009,1,0,0.0,2.0,1
2009,1,1,2.0,2.0,1
2009,3,0,0.0,2.0,5
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,1,2.0,2.0,2
2009,1,0,0.0,2.0,1
2009,1,1,1.0,2.0,4
2009,2,0,0.0,2.0,3
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,2
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,5
2009,3,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,1,1.0,2.0,1
2009,2,0,0.0,2.0,3
2009,1,1,2.0,2.0,1
2009,2,0,0.0,2.0,5
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,1,1,2.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,1,1,2.0,2.0,3
2009,2,1,2.0,2.0,1
2009,2,1,2.0,2.0,1
2009,2,1,2.0,2.0,1
2009,2,1,2.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,1,1,1.0,2.0,3
2009,2,0,0.0,2.0,1
2009,1,1,1.0,2.0,3
2009,2,0,0.0,1.0,1
2009,2,0,0.0,1.0,1
2009,2,0,0.0,1.0,1
2009,1,0,0.0,2.0,2
2009,2,0,0.0,2.0,3
2009,1,0,0.0,2.0,3
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,5
2009,2,0,0.0,2.0,5
2009,1,0,0.0,2.0,5
2009,2,0,0.0,2.0,2
2009,2,1,2.0,2.0,1
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,5
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,5
2009,2,0,0.0,2.0,5
2009,2,0,0.0,2.0,5
2009,2,0,0.0,2.0,5
2009,1,0,0.0,2.0,1
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,,3
2009,1,0,0.0,2.0,3
2009,2,1,2.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,1,1.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,1,1.0,2.0,4
2009,2,0,0.0,2.0,1
2009,2,1,1.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,1,1.0,2.0,3
2009,1,1,1.0,2.0,3
2009,1,0,0.0,2.0,1
2009,1,1,1.0,1.0,1
2009,1,1,1.0,2.0,1
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,1
2009,1,1,2.0,2.0,2
2009,2,1,2.0,1.0,2
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,3
2009,1,0,0.0,2.0,1
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,3
2009,1,0,0.0,2.0,3
2009,2,1,2.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,,1
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,3
2009,2,1,1.0,2.0,1
2009,2,1,1.0,1.0,1
2009,2,1,2.0,,4
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,1.0,1
2009,2,0,0.0,2.0,3
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,3,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,1,1,1.0,2.0,1
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,4
2009,1,1,2.0,2.0,2
2009,2,0,0.0,2.0,5
2009,1,0,0.0,1.0,2
2009,1,1,2.0,2.0,1
2009,1,1,2.0,2.0,3
2009,2,1,1.0,2.0,3
2009,1,0,0.0,2.0,2
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,2
2009,2,0,0.0,2.0,4
2009,2,0,0.0,,5
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,1
2009,2,1,2.0,2.0,3
2009,3,0,0.0,2.0,2
2009,1,0,0.0,2.0,3
2009,2,1,1.0,2.0,3
2009,1,0,0.0,2.0,3
2009,1,0,0.0,,1
2009,2,0,0.0,2.0,5
2009,2,1,2.0,2.0,1
2009,2,1,1.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,1,1,2.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,1,1.0,2.0,4
2009,2,0,0.0,2.0,4
2009,2,1,1.0,2.0,4
2009,2,1,1.0,2.0,4
2009,2,1,1.0,2.0,4
2009,2,0,0.0,2.0,2
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,0,0.0,1.0,3
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,1,0,0.0,2.0,1
2009,2,1,2.0,2.0,1
2009,2,1,1.0,2.0,1
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,1,2.0,2.0,2
2009,1,0,0.0,2.0,1
2009,2,1,1.0,2.0,1
2009,1,1,2.0,2.0,2
2009,2,0,0.0,2.0,4
2009,2,0,0.0,2.0,4
2009,2,1,2.0,2.0,4
2009,2,1,2.0,1.0,1
2009,2,1,2.0,1.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,1,1.0,1.0,1
2009,1,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,2
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,1
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,3
2009,2,0,0.0,2.0,1
2009,2,1,1.0,2.0,1
2009,2,0,0.0,2.0,5
2009,2,0,0.0,2.0,5
2009,1,0,0.0,2.0,4
